trading_point,open,high,low,close,volume
2017-01-03,9266,9282,9231,9281,178472
2017-01-04,9281,9295,9261,9273,174410
2017-01-05,9270,9354,9266,9340,237832
2017-01-06,9353,9375,9338,9367,133646
2017-01-09,9379,9409,9325,9344,224828
2017-01-10,9332,9350,9320,9342,150632
2017-01-11,9395,9396,9333,9338,181140
2017-01-12,9353,9433,9350,9410,225618
2017-01-13,9388,9397,9361,9374,157754
2017-01-16,9360,9362,9274,9286,224124
2017-01-17,9282,9344,9280,9341,147866
2017-01-18,9336,9349,9314,9340,106012
2017-01-19,9337,9342,9254,9306,246238
2017-01-20,9283,9338,9278,9330,154094
2017-01-23,9319,9423,9318,9407,199354
2017-01-24,9423,9464,9405,9446,157014
2017-02-02,9500,9510,9373,9375,275618
2017-02-03,9418,9458,9408,9439,189484
2017-02-06,9477,9533,9441,9505,233366
2017-02-07,9499,9525,9482,9520,140248
2017-02-08,9513,9535,9463,9515,220918
2017-02-09,9518,9579,9505,9576,208176
2017-02-10,9600,9681,9586,9658,253890
2017-02-13,9670,9705,9661,9705,183218
2017-02-14,9729,9758,9695,9710,253636
2017-02-15,9726,9801,9722,9800,130646
2017-02-16,9819,9852,9758,9772,270334
2017-02-17,9760,9786,9747,9762,154252
2017-02-18,9778,9789,9772,9788,46518
2017-02-20,9786,9814,9737,9766,202380
2017-02-21,9777,9785,9728,9766,199516
2017-02-22,9783,9827,9767,9783,242804
2017-02-23,9780,9820,9755,9772,230310
2017-02-24,9770,9786,9730,9761,199000
2017-03-01,9766,9770,9678,9682,275484
2017-03-02,9761,9784,9643,9691,317522
2017-03-03,9648,9672,9623,9629,243520
2017-03-06,9639,9684,9619,9683,196244
2017-03-07,9693,9734,9682,9727,188700
2017-03-08,9736,9765,9701,9748,226610
2017-03-09,9739,9742,9642,9652,277266
2017-03-10,9647,9652,9555,9625,307656
2017-03-13,9644,9698,9643,9692,218522
2017-03-14,9713,9767,9711,9749,203360
2017-03-15,9742,9752,9715,9732,128624
2017-03-16,9805,9852,9782,9840,247702
2017-03-17,9850,9896,9837,9890,190122
2017-03-20,9870,9908,9855,9895,174676
2017-03-21,9926,9980,9916,9962,233574
2017-03-22,9890,9907,9851,9898,261856
2017-03-23,9941,9952,9879,9909,248902
2017-03-24,9927,9928,9883,9901,200582
2017-03-27,9878,9917,9844,9865,242182
2017-03-28,9920,9927,9805,9883,360538
2017-03-29,9902,9904,9851,9862,224280
2017-03-30,9864,9888,9834,9850,203388
2017-03-31,9858,9872,9812,9821,195764
2017-04-05,9849,9968,9843,9961,276418
2017-04-06,9930,9941,9880,9897,220536
2017-04-07,9903,9905,9772,9863,404996
2017-04-10,9868,9892,9843,9876,187472
2017-04-11,9866,9895,9807,9816,313300
2017-04-12,9818,9830,9776,9814,239006
2017-04-13,9802,9869,9792,9846,282240
2017-04-14,9806,9808,9711,9716,327348
2017-04-17,9740,9754,9680,9722,273866
2017-04-18,9757,9772,9721,9737,209500
2017-04-19,9700,9707,9632,9638,202894
2017-04-20,9598,9640,9584,9615,228414
2017-04-21,9665,9706,9655,9697,219886
2017-04-24,9747,9766,9684,9705,249144
2017-04-25,9746,9827,9728,9813,278684
2017-04-26,9855,9871,9826,9841,240712
2017-04-27,9829,9850,9808,9839,188974
2017-04-28,9847,9884,9834,9857,213098
2017-05-02,9899,9950,9897,9932,208504
2017-05-03,9946,9966,9934,9936,154602
2017-05-04,9951,9965,9918,9959,173756
2017-05-05,9946,9951,9879,9889,218830
2017-05-08,9929,9959,9895,9921,207000
2017-05-09,9916,9994,9898,9904,330334
2017-05-10,9938,9959,9918,9947,184746
2017-05-11,9962,9997,9946,9987,238528
2017-05-12,9982,9996,9966,9981,166350
2017-05-15,9990,10031,9975,10028,173892
2017-05-16,10040,10054,10000,10022,189982
2017-05-17,9993,10022,9975,10000,138296
2017-05-18,9903,9958,9878,9951,260088
2017-05-19,9968,9973,9931,9932,150716
2017-05-22,9965,9980,9942,9975,167378
2017-05-23,9984,10017,9968,9994,193812
2017-05-24,10007,10030,9998,10020,158448
2017-05-25,10042,10110,10040,10107,196330
2017-05-26,10130,10131,10080,10093,206170
2017-05-31,10085,10105,10023,10031,219170
2017-06-01,10030,10075,10023,10069,171886
2017-06-02,10113,10137,10105,10135,183832
2017-06-03,10147,10160,10137,10157,47634
2017-06-05,10148,10207,10115,10200,216666
2017-06-06,10196,10206,10184,10185,126354
2017-06-07,10180,10229,10165,10192,227110
2017-06-08,10204,10218,10184,10211,143914
2017-06-09,10230,10252,10186,10192,203496
2017-06-12,10129,10159,10110,10120,219948
2017-06-13,10123,10143,10106,10137,180526
2017-06-14,10161,10165,10021,10065,336662
2017-06-15,10051,10075,10018,10073,218364
2017-06-16,10078,10159,10061,10146,253018
2017-06-19,10164,10251,10160,10239,210358
2017-06-20,10276,10353,10268,10322,239524
2017-06-21,10273,10371,10267,10369,187112
2017-06-22,10198,10234,10174,10231,232602
2017-06-23,10221,10245,10193,10215,201432
2017-06-26,10207,10395,10202,10381,375220
2017-06-27,10390,10412,10353,10368,227780
2017-06-28,10303,10342,10247,10261,320450
2017-06-29,10325,10356,10260,10297,258432
2017-06-30,10220,10263,10196,10252,245830
2017-07-03,10260,10289,10231,10289,212024
2017-07-04,10303,10306,10210,10217,280156
2017-07-05,10215,10304,10171,10301,331234
2017-07-06,10323,10329,10237,10267,261258
2017-07-07,10225,10246,10195,10203,240854
2017-07-10,10226,10242,10180,10210,222654
2017-07-11,10232,10356,10228,10342,278924
2017-07-12,10346,10383,10330,10339,225810
2017-07-13,10393,10442,10371,10420,281508
2017-07-14,10420,10424,10391,10403,151056
2017-07-17,10458,10480,10414,10436,219560
2017-07-18,10427,10466,10407,10462,158690
2017-07-19,10479,10541,10471,10500,178794
2017-07-20,10411,10420,10370,10390,186894
2017-07-21,10378,10383,10324,10329,194718
2017-07-24,10300,10364,10285,10362,194684
2017-07-25,10373,10387,10338,10363,181882
2017-07-26,10386,10421,10320,10329,280124
2017-07-27,10365,10462,10362,10448,262062
2017-07-28,10395,10403,10324,10340,257290
2017-07-31,10333,10363,10289,10355,216674
2017-08-01,10368,10424,10361,10367,249968
2017-08-02,10420,10471,10415,10453,238288
2017-08-03,10420,10430,9408,10406,270174
2017-08-04,10401,10456,10401,10439,164870
2017-08-07,10476,10539,10475,10529,182520
2017-08-08,10558,10567,10485,10526,233410
2017-08-09,10466,10497,10436,10453,278490
2017-08-10,10477,10484,10308,10328,377452
2017-08-11,10228,10326,10225,10300,282264
2017-08-14,10344,10357,10223,10231,296994
2017-08-15,10310,10331,10261,10309,251264
2017-08-16,10277,10319,10235,10254,212326
2017-08-17,10258,10324,10245,10298,249086
2017-08-18,10230,10265,10200,10259,285392
2017-08-21,10259,10280,10217,10269,215688
2017-08-22,10316,10369,10305,10350,221624
2017-08-23,10401,10414,10341,10361,265784
2017-08-24,10372,10460,10365,10449,234856
2017-08-25,10471,10490,10431,10487,213188
2017-08-28,10466,10515,10457,10490,208608
2017-08-29,10451,10478,10421,10463,249938
2017-08-30,10508,10552,10493,10531,267600
2017-08-31,10560,10581,10532,10551,237642
2017-09-01,10571,10598,10540,10576,200164
2017-09-04,10550,10579,10533,10552,184270
2017-09-05,10575,10590,10528,10582,221516
2017-09-06,10540,10570,10483,10519,303466
2017-09-07,10551,10568,10477,10490,270742
2017-09-08,10501,10571,10495,10556,268656
2017-09-11,10628,10635,10535,10565,297518
2017-09-12,10604,10614,10564,10590,216806
2017-09-13,10595,10603,10510,10521,272422
2017-09-14,10520,10545,10486,10529,214498
2017-09-15,10528,10570,10491,10566,266388
2017-09-18,10566,10589,10563,10589,14672
2017-09-19,10647,10658,10568,10580,247690
2017-09-20,10572,10585,10490,10510,217044
2017-09-21,10505,10583,10473,10575,266206
2017-09-22,10554,10568,10427,10433,336208
2017-09-25,10426,10453,10315,10333,329112
2017-09-26,10299,10369,10261,10264,329190
2017-09-27,10300,10340,10290,10319,260080
2017-09-28,10349,10350,10266,10299,320032
2017-09-29,10299,10328,10263,10321,257346
2017-09-30,10360,10394,10354,10380,90862
2017-10-02,10392,10458,10386,10449,216812
2017-10-03,10470,10475,10427,10462,219626
2017-10-05,10460,10519,10438,10505,219152
2017-10-06,10537,10542,10496,10524,184224
2017-10-11,10519,10527,10506,10516,13384
2017-10-12,10657,10705,10640,10697,198020
2017-10-13,10688,10713,10670,10711,146104
2017-10-16,10745,10763,10710,10757,196726
2017-10-17,10776,10781,10720,10724,199528
2017-10-18,10745,10783,10686,10727,186916
2017-10-19,10748,10800,10733,10761,239572
2017-10-20,10736,10764,10700,10732,230744
2017-10-23,10744,10758,10732,10756,20648
2017-10-24,10725,10758,10709,10744,180338
2017-10-25,10769,10782,10728,10739,237610
